Author,Title,Year,DOI,Link,Type,Venue,Abstract,Source
"Ludwig, Simone A.","Anthony Brabazon, Michael O'Neill, Sean McGarraghy: Natural computing algorithms",2016,10.1007/s10710-016-9266-8,https://doi.org/10.1007/s10710-016-9266-8,Journal,Genetic Programming and Evolvable Machines,,Springer
"Alornyo, Seth",Quantum-secure plaintext checkable signcryption,2023,10.1007/s42044-022-00119-4,https://doi.org/10.1007/s42044-022-00119-4,Journal,Iran Journal of Computer Science,"A public plaintext query on a ciphertext using plaintext checkable encryption is a cryptographic primitive studied extensively to promote the search on ciphertext using a plaintext keywords or phrase. Most existing schemes are vulnerable to an adversary with quantum computers. In this paper, we propose quantum-secure plaintext checkable signcryption in a lattice environment. Our scheme is post-quantum secure and achieves the dual benefits of digital signature and public key encryption. Learning with errors cryptographic primitive ensures the attainment of this goal. We achieve a desirable security feature of existential unforgeable chosen message attack using the random oracle model.",Springer
"Ramezani, Fahimeh and Lu, Jie and Hussain, Farookh Khadeer",Task-Based System Load Balancing in Cloud Computing Using Particle Swarm Optimization,2014,10.1007/s10766-013-0275-4,https://doi.org/10.1007/s10766-013-0275-4,Journal,International Journal of Parallel Programming,"Live virtual machine (VM) migration is a technique for achieving system load balancing in a cloud environment by transferring an active VM from one physical host to another. This technique has been proposed to reduce the downtime for migrating overloaded VMs, but it is still time- and cost-consuming, and a large amount of memory is involved in the migration process. To overcome these drawbacks, we propose a Task-based System Load Balancing method using Particle Swarm Optimization (TBSLB-PSO) that achieves system load balancing by only transferring extra tasks from an overloaded VM instead of migrating the entire overloaded VM. We also design an optimization model to migrate these extra tasks to the new host VMs by applying Particle Swarm Optimization (PSO). To evaluate the proposed method, we extend the cloud simulator (Cloudsim) package and use PSO as its task scheduling model. The simulation results show that the proposed TBSLB-PSO method significantly reduces the time taken for the load balancing process compared to traditional load balancing approaches. Furthermore, in our proposed approach the overloaded VMs will not be paused during the migration process, and there is no need to use the VM pre-copy process. Therefore, the TBSLB-PSO method will eliminate VM downtime and the risk of losing the last activity performed by a customer, and will increase the Quality of Service experienced by cloud customers.",Springer
"Tchernykh, Andrei and Ju{\'a}rez Ram{\'i}rez, Reyes and Mocskos, Esteban and Nesmachnow, Sergio",Guest Editorial Special Issue ``Recent Trends on Advanced Computing: The Converging Technologies'',2023,10.1134/S0361768823080285,https://doi.org/10.1134/S0361768823080285,Journal,Programming and Computer Software,,Springer
"Peper, Ferdinand",The End of Moore's Law: Opportunities for Natural Computing?,2017,10.1007/s00354-017-0020-4,https://doi.org/10.1007/s00354-017-0020-4,Journal,New Generation Computing,"The impending end of Moore's Law has started a rethinking of the way computers are built and computation is done. This paper discusses two directions that are currently attracting much attention as future computation paradigms: the merging of logic and memory, and brain-inspired computing. Natural computing has been known for its innovative methods to conduct computation, and as such may play an important role in the shaping of the post-Moore era.",Springer
"Monica, Stefania and Bergenti, Federico and Zambonelli, Franco",A kinetic approach to investigate the collective dynamics of multi-agent systems,2023,10.1007/s10009-023-00724-z,https://doi.org/10.1007/s10009-023-00724-z,Journal,International Journal on Software Tools for Technology Transfer,"When the number of interacting agents in a multi-agent system is large, the detailed study of the dynamics of each agent tends to obfuscate the collective and possibly emergent dynamics of the multi-agent system as a whole. When the interest is on the collective properties of the multi-agent system, a statistical study of the dynamics of the states of the agents can provide a more effective perspective on the system. In particular, a statistical approach can better focus on the long-term asymptotic properties of the studied multi-agent system. The initial part of this paper outlines a framework to approach the study of the collective properties of multi-agent systems. The framework targets large and decentralized multi-agent systems in which the relevant collective properties emerge from interactions. Then, the paper exemplifies the use of the framework to study the long-term asymptotic properties of multi-agent systems in which agents interact using the symmetric gossip algorithm. The state of each agent is represented as a real number, and the use of the framework shows that all agents exponentially converge to the average of their initial states. The analytic results provided by the framework are confirmed by independent multi-agent simulations. Finally, the paper is concluded with a brief discussion of related work and an overview of future extensions.",Springer
"Khan, Naveed and Jianbiao, Zhang and Lim, Huhnkuk and Ali, Jehad and Ullah, Intikhab and Salman Pathan, Muhammad and Chaudhry, Shehzad Ashraf",An ECC-based mutual data access control protocol for next-generation public cloud,2023,10.1186/s13677-023-00464-0,https://doi.org/10.1186/s13677-023-00464-0,Journal,Journal of Cloud Computing,"Through the broad usage of cloud computing and the extensive utilization of next-generation public clouds, people can share valuable information worldwide via a wireless medium. Public cloud computing is used in various domains where thousands of applications are connected and generate numerous amounts of data stored on the cloud servers via an open network channel. However, open transmission is vulnerable to several threats, and its security and privacy are still a big challenge. Some proposed security solutions for protecting next-generation public cloud environments are in the literature. However, these methods may not be suitable for a wide range of applications in a next-generation public cloud environment due to their high computing and communication overheads because if security protocol is strengthened, it inversely impacts performance and vice versa. Furthermore, these security frameworks are vulnerable to several attacks, such as replay, denial-of-service (DoS), insider, server spoofing, and masquerade, and also lack strong user anonymity and privacy protection for the end user. Therefore, this study aims to design an elliptic curve cryptographic (ECC) based data access control protocol for a public cloud environment. The security mechanism of the proposed protocol can be verified using BAN (Burrows-Abadi-Needham) logic and ProVerif 2.03, as well as informally using assumptions and pragmatic illustration. In contrast, in the performance analysis section, we have considered the parameters such as the complexity of storage overheads, communication, and computation time. As per the numerical results obtained in the performance analysis section, the proposed protocol is lightweight, robust, and easily implemented in a practical next-generation cloud computing environment.",Springer
,News,2022,10.1007/s13218-022-00757-7,https://doi.org/10.1007/s13218-022-00757-7,Journal,"KI - K{\""u}nstliche Intelligenz",,Springer
"Prokopenya, A. N.",Simulation of a quantum algorithm for phase estimation,2015,10.1134/S0361768815020061,https://doi.org/10.1134/S0361768815020061,Journal,Programming and Computer Software,"A quantum algorithm for estimating the phase, which determines the eigenvalue of a unitary operator, is discussed. It is assumed that the eigenvector of this operator and the corresponding quantum circuit are given. The memory register where the approximate phase value is stored consists of n qubits, which makes it possible to determine the phase accurate to 2���雿孵�������交�券��蝯疳th the probability greater than 8/$\pi$2. By way of example, computations for the case of the quantum phase shift operator are performed. The simulation of the quantum algorithm and the computation of the eigenvalue are performed using the QuantumCircuit package written in the Wolfram Mathematica computer algebra system. This system is also used to perform all the computations and visualize the results.",Springer
"Barzen, Johanna and Leymann, Frank",Quantum humanities: a vision for quantum computing in digital humanities,2020,10.1007/s00450-019-00419-4,https://doi.org/10.1007/s00450-019-00419-4,Journal,SICS Software-Intensive Cyber-Physical Systems,"The establishment of digital humanities as a research field has shown that the use of computers as tools, but also the use of methods and techniques from computer science, can contribute enormously to research done in the humanities. Since quantum computers are expected to become generally available in the next few years, it is promising to use the advantages of this new technology for addressing existing as well as completely new questions in the humanities. The use of quantum computers offers a great deal of potential: (i) they are much faster than classical computers in solving certain complex problems, (ii) solutions may be much more precise, (iii) they allow the solution of problem classes that can hardly been solved on classical computers, and (iv) their usage promises to be much cheaper than that of supercomputers. Parts of this potential are already used in different domains but are also particular promising for digital humanities research. This paper outlines the vision of such quantum humanities.",Springer
"Luo, Yun and Chen, Yuling and Li, Tao and Tan, Chaoyue and Dou, Hui",Cloud-SMPC: two-round multilinear maps secure multiparty computation based on LWE assumption,2024,10.1186/s13677-023-00586-5,https://doi.org/10.1186/s13677-023-00586-5,Journal,Journal of Cloud Computing,"Cloud computing has data leakage from all parties, security protection of private data, and existing solutions do not provide a trade-off between security and overhead. With distributed data communication due to data barriers, information interaction security and data computation security have become challenges for secure computing. Combining cloud computing with secure multiparty computation can provide a higher level of data protection while maintaining the benefits of cloud computing. In this case, data can be stored in the cloud and computed through SMPC protocols, thus protecting the privacy and security of the data. However, multiple rounds of information interaction are often required, increasing the communication overhead, and the security strength is limited by the hardness assumption. In this paper, we work to achieve an optimal setting of the number of rounds in secure multi-party computation on the cloud to achieve a sublinear communication overhead and improve the security concept. A 2-round SMPC protocol is constructed in the framework of Universally Composable (UC). A 2-round SMPC protocol is constructed that uses multilinear maps based on the Learning from Errors (LWE) assumption. The participant encodes the input and sends it via broadcast to reduce the interaction, homomorphic computational encoding information for secure access to computational data and secure the SMPC protocol through UC security. This paper extends the participants to multiple parties, reduces the communication rounds to 2, the protocol achieves sublinear communication overhead in poly polynomial time, smaller setup size to poly(k), and static security is achieved.",Springer
"Houshmand, Mahboobeh and Saheb Zamani, Morteza and Sedighi, Mehdi and Houshmand, Monireh",GA-based approach to find the stabilizers of a given sub-space,2015,10.1007/s10710-014-9219-z,https://doi.org/10.1007/s10710-014-9219-z,Journal,Genetic Programming and Evolvable Machines,"Stabilizer formalism is a powerful framework for understanding a wide class of operations in quantum information. This formalism is a framework where multiple qubit states and sub-spaces are described in a compact way in terms of operators under which they are invariant. In stabilizer formalism, one focuses the members of Pauli groups which have the stabilizing property of a given sub-space. Therefore, finding the Pauli stabilizers of a given sub-space in an efficient way is of great interest. In this paper, this problem is addressed in the field of quantum information theory. We present a two-phase algorithm to solve the problem whose order of complexity is considerably smaller than the common solution. In the first phase, a genetic algorithm is run. The results obtained by this algorithm are the matrices that can potentially be the Pauli stabilizers of the given sub-space. Then an analytical approach is applied to find the correct answers among the results of the first phase. Experimental results show that speed-ups are remarkable as compared to the common solution.",Springer
"Uijlen, Sander and Westerbaan, Bas",A Kochen-Specker System Has at Least 22 Vectors,2016,10.1007/s00354-016-0202-5,https://doi.org/10.1007/s00354-016-0202-5,Journal,New Generation Computing,"At the heart of the Conway-Kochen Free Will Theorem and Kochen and Specker's argument against non-contextual hidden variable theories is the existence of a Kochen-Specker (KS) system: a set of points on the sphere that has no {\{}0,1{\}}-coloring such that at most one of two orthogonal points are colored 1 and of three pairwise orthogonal points exactly one is colored 1. In public lectures, Conway encouraged the search for small KS systems. At the time of writing, the smallest known KS system has 31 vectors.",Springer
"Weber, Brian J. and Kalantre, Sandesh S. and McJunkin, Thomas and Taylor, Jacob M. and Zwolak, Justyna P.",Theoretical Bounds on Data Requirements for the Ray-Based Classification,2021,10.1007/s42979-021-00921-0,https://doi.org/10.1007/s42979-021-00921-0,Journal,SN Computer Science,"The problem of classifying high-dimensional shapes in real-world data grows in complexity as the dimension of the space increases. For the case of identifying convex shapes of different geometries, a new classification framework has recently been proposed in which the intersections of a set of one-dimensional representations, called rays, with the boundaries of the shape are used to identify the specific geometry. This ray-based classification (RBC) has been empirically verified using a synthetic dataset of two- and three-dimensional shapes (Zwolak et al. in Proceedings of Third Workshop on Machine Learning and the Physical Sciences (NeurIPS 2020), Vancouver, Canada [December 11, 2020], arXiv:2010.00500, 2020) and, more recently, has also been validated experimentally (Zwolak et al., PRX Quantum 2:020335, 2021). Here, we establish a bound on the number of rays necessary for shape classification, defined by key angular metrics, for arbitrary convex shapes. For two dimensions, we derive a lower bound on the number of rays in terms of the shape's length, diameter, and exterior angles. For convex polytopes in {\$}{\$}{\backslash}mathbb {\{}R{\}}^N{\$}{\$}, we generalize this result to a similar bound given as a function of the dihedral angle and the geometrical parameters of polygonal faces. This result enables a different approach for estimating high-dimensional shapes using substantially fewer data elements than volumetric or surface-based approaches.",Springer
"Ruiz, Alejandra and Martin, Yod-Samuel and Martinez, Jabier and Quintans, Jacobo and Mockly, Guillaume and Gyrard, Amelie and Crepax, Tommaso",Modeling ecosystems of reference frameworks for assurance: a case on privacy impact assessment regulation and guidelines,2023,10.1007/s10270-022-01061-6,https://doi.org/10.1007/s10270-022-01061-6,Journal,Software and Systems Modeling,"To assure certain critical quality properties (e.g., safety, security, or privacy), supervisory authorities and industrial associations provide reference frameworks such as standards or guidelines that in some cases are enforced (e.g., regulations). Given the pace at which both technical advancements and risks appear, there is an increase in the number of reference frameworks. As several frameworks might apply for same systems, certain overlaps appear (e.g., regulations for different countries where the system will operate, or generic standards in conjunction with more concrete standards for a given industrial sector or system type). We propose the use of modelling for alleviating the complexity of these reference frameworks ecosystems, and we provide a tool-supported method to create them for the benefit of different stakeholders. The case study is based on privacy data protection, and more concretely on privacy impact assessment processes. The European GDPR regulates the movement and processing of personal data, and, contrary to available software engineering privacy guidelines, articles in legal texts are usually difficult to translate to the underlying processes, artefacts and roles that they refer to. To facilitate the mutual comprehension of legal experts and engineers, in this work we investigate how mappings can be created between these two domains of expertise. Notably, we rely on modelling as a central point. We modelled the legal requirements of the GDPR on data protection impact assessments, and then, we selected the ISO/IEC 29134, a mainstream engineering guideline for privacy impact assessment, and, taking a concrete sector as example, the EU Smart Grid Data Protection Impact Assessment template. The OpenCert tool was used for providing technical support to both the modelling and the creation of the mapping models in a systematic way. We provide a qualitative evaluation from legal experts and privacy engineering practitioners to report on the benefits and limitations of this approach.",Springer
"Jain, Amith K. and Naveen Kumar, H. N.",Integration of Discriminative Information from Expressive and Neutral Face Image for Effective Modelling of Facial Expression Classification Problem,2024,10.1007/s42979-024-03469-x,https://doi.org/10.1007/s42979-024-03469-x,Journal,SN Computer Science,"The contribution of appearance feature variations between expressive and neutral face image towards facial expression classification problem has received limited attention in the literature. The prime focus of the proposed work is to investigate the abstract, robust and discriminative feature space to effectively model expression classification problem. The significant contributions of the work are, hybrid feature space developed by the integration of discriminative features derived from histogram of oriented gradients (HOG) and local gabor binary pattern histogram sequence (LGBPHS) feature descriptor; computing the shape and texture feature variations between expressive and neutral face image (feature difference); novel feature space developed by combining the hybrid feature space acquired from the expressive face image with the feature difference; stacked deep convolutional autoencoder is employed as an efficient feature selection algorithm for dimensionality reduction and multiclass support vector machine (MSVM) for classification. The combination of HOG and LGBPHS has improved the recognition accuracy, robustness, and generalization capability of the model. The work is carried out on three benchmark datasets (CK+, KDEF, and JAFFE) and the model has shown remarkable recognition rates on all the three benchmark datasets (96.43{\%} on CK+{\thinspace}, 96.03{\%} on KDEF, and 88.53{\%} on JAFFE).",Springer
"Mondal, Avijit and Chatterjee, Pinaki Sankar",CloudSec: A Lightweight and Agile Approach to Secure Medical Image Transmission in the Cloud Computing Environment,2024,10.1007/s42979-023-02539-w,https://doi.org/10.1007/s42979-023-02539-w,Journal,SN Computer Science,"In this paper, we have proposed a novel method CloudSec. It is a lightweight and agile image encryption method that combines a hashing function, multi-wing chaotic mapping system, and genetics algorithm. The proposed method offers significant benefits in terms of efficiency in data authentication. Additionally, our proposed method does complementary and internal scrambling in order to increase security of the image. Secret key with features is used as a seeding value to generate a key DNA image from a hyper-chaotic system to eliminate the correlation between adjacent pixels by chaotic sequence. The complex dynamic behavior of the chaotic map generates random sequences for image diffusion. The propagation of information between a permuted DNA image and a key DNA image can be achieved through the use of DNA operations. Simulation results show that the proposed method used to authenticate and secure medical images in health care information systems. Our results demonstrated that it is very effective and reliable to fully recover medical image in case of any attack. The proposed approach executes faster, generates a large key space, and provides better encryption than available state-of-the-art techniques. It also resists various attacks, such as differential and statistical attack. The proposed crypto system is suitable for real-time applications in cloud computing and can be integrated into an IoHT framework for secure medical image transmission.",Springer
"Van Dyke Parunak, H.",How to turn an MAS into a graphical causal model,2022,10.1007/s10458-022-09560-y,https://doi.org/10.1007/s10458-022-09560-y,Journal,Autonomous Agents and Multi-Agent Systems,"This paper proposes that an appropriately configured multi-agent system (MAS) is formally equivalent to a graphical causal model (GCM, a broad category that includes many formalisms expressed as directed graphs), and offers benefits over other GCMs in modeling a social scenario. MASs often use GCMs to support their operation, but are not usually viewed as tools for enhancing their execution. We argue that the definition of a GCM should include its update mechanism, an often-overlooked component. We review a wide range of GCMs to validate this definition and point out limitations that they face when applied to the social and psychological dimensions of causality. Then we describe Social Causality using Agents with Multiple Perspectives (SCAMP), a causal language and multi-agent simulator that satisfies our definition and overcomes the limitations of other GCMs for social simulation.",Springer
"Sai Phaneendra, P. and Vudadha, Chetan and Srinivas, M. B.",Optimization of Reversible Circuits Using Gate Pair Classification,2021,10.1007/s42979-021-00900-5,https://doi.org/10.1007/s42979-021-00900-5,Journal,SN Computer Science,"Research on reversible logic gained momentum in the past decade owing to its utility in emerging areas such as quantum computing, optical computing and low power circuit implementation, etc. Reversible circuits synthesized using existing techniques often tend to be sub-optimal; thus, post-synthesis optimization techniques are usually employed to reduce the `circuit cost', a metric used to compare the reversible circuits. In this paper, a set of optimization techniques is proposed to minimize the circuit cost. These techniques rely on classifying a pair of reversible gates in a given circuit based on their structural similarity. An algorithm that maps the classifications with the optimization techniques to improve the cost of a circuit is also proposed. Results obtained for a set of benchmark reversible circuits confirm that the proposed methodology performs better in terms of circuit cost when compared to those available in the literature.",Springer
"Rehman, Zia ur and Hussain, Omar Khadeer and Hussain, Farookh Khadeer",Parallel Cloud Service Selection and Ranking Based on QoS History,2014,10.1007/s10766-013-0276-3,https://doi.org/10.1007/s10766-013-0276-3,Journal,International Journal of Parallel Programming,"The growing number of cloud services has made service selection a challenging decision-making problem by offering wide ranging choices for cloud service consumers. This necessitates the use of formal decision making methodologies to assist a decision maker in selecting the service that best fulfills the user's requirements. In this paper, we present a cloud service selection methodology that utilizes quality of service history of cloud services over different time periods and performs parallel multi-criteria decision analysis to rank all cloud services in each time period in accordance with user preferences before aggregating the results to determine the overall rank of all the available options for cloud service selection. This methodology assists the cloud service user to select the best possible available service according to the requirements. The multi-criteria decision making processes used for each time period are independent of the other time periods and are executed in parallel.",Springer
"Singh, Shaurya Pratap and Chaurasia, Brijesh Kumar and Tripathi, Tanmay and Pal, Ayush and Gupta, Siddharth",Attack on lattice shortest vector problem using K-Nearest Neighbour,2024,10.1007/s42044-024-00184-x,https://doi.org/10.1007/s42044-024-00184-x,Journal,Iran Journal of Computer Science,"Lattice-based cryptography is now the most effective and adaptable branch of post-quantum cryptography. The prime number factoring assumption or the presumption that the discrete logarithm problem is intractable are the two assumptions that underlie nearly all cryptographic security systems. Lattice-based cryptography has recently gained popularity to improve security as the world prepares for quantum computing. Lattices are used to secure the systems; however, one of the problems is the Shortest vector problem. In this work, we addressed the attack on lattice problems, especially two-dimensional, four-dimensional, and ten-dimensional, with the help of the machine learning algorithm K-Nearest Neighbour (KNN). Results and analysis findings demonstrate that the suggested approach can achieve accuracy of upto 78{\%} and 58{\%} on self-prepared datasets over two-dimensional and ten- dimensional, respectively.",Springer
"Saggio, Giovanni",The Human Digi-real Duality,2024,10.1007/s42979-023-02582-7,https://doi.org/10.1007/s42979-023-02582-7,Journal,SN Computer Science,"Current technologies allow acquiring whatever amount of data (even big data), from whatever system (object, component, mechanism, network, implant, machinery, structure, asset, etc.), during whatever time lapse (secs, hours, weeks, years). Therefore, potentially it is possible to fully characterize any system for any time we need, with the possible consequence of creating a virtual copy, namely the digital twin (DT) of the system. When technology of DT meets an augmented reality scenario, the augmented digital twin (ADT) arises, when DT meets an artificial intelligence environment, the intelligent digital twin (IDT) arises. DTs, ADTs and IDTs are successfully adopted in electronics, mechanics, chemistry, manufacturing, science, sport, and more, but when adopted for the human body it comes out the human digital twin (HDT) or alternatively named virtual human simulator (VHS). When the VHS incorporates information from surroundings (other VHSs and environment), taking a cue from the particle-wave duality (the mix of matter and energy), we can name this super-VHS as the human digi-real duality (HDRD). This work is focused on defining the aforementioned acronyms, on evidencing their differences, advantages and successful case adoptions, but highlighting technology limits too, and on foreseeing new and intriguing possibilities.",Springer
"Song, Kang and Shang, Wenqian and Zhang, Yong and Yi, Tong and Wang, Xuan",Security issues of news data dissemination in internet environment,2024,10.1186/s13677-024-00632-w,https://doi.org/10.1186/s13677-024-00632-w,Journal,Journal of Cloud Computing,"With the rise of artificial intelligence and the development of social media, people's communication is more convenient and convenient. However, in the Internet environment, the untrue dissemination of news data leads to a large number of problems. Efficient and automatic detection of rumors in social platforms hence has become an important research direction in recent years. This paper leverages deep learning methods to mine the changing trend of user features related to rumor events, and designs a rumor detection model called Time Based User Feature Capture Model(TBUFCM). To obtain a new feature vector representing the user's comprehensive features under the current event, the proposed model first recomputes the user feature vector by using feature enhancement function. Then it utilizes GRU(Gate Recurrent Unit, GRU) and CNN(Convolutional Neural Networks, CNN) models to learn the global and local changes of user features, respectively. Finally, the hidden rumor features in the process of rumor propagation can be discovered by user and time information. The experimental results show that TBUFCM outperforms the baseline model, and when there are only 20 forwarded posts, it can also reach an accuracy of 92{\%}. The proposed method can effectively solve the security problem of news data dissemination in the Internet environment.",Springer
"Zhang, Jinli and Wang, Zhenbo and Jiang, Zongli and Wu, Man and Li, Chen and Yamanishi, Yoshihiro",Quantitative evaluation of molecular generation performance of graph-based GANs,2024,10.1007/s11219-024-09671-7,https://doi.org/10.1007/s11219-024-09671-7,Journal,Software Quality Journal,"Deep generative models have been widely used in molecular generation tasks because they can save time and cost in drug development compared with traditional methods. Previous studies based on generative adversarial network (GAN) models typically employ reinforcement learning (RL) to constrain chemical properties, resulting in efficient and novel molecules. However, such models have poor performance in generating molecules due to instability in training. Therefore, quantitative evaluation of existing molecular generation models, especially GAN models, is necessary. This study aims to evaluate the performance of discrete GAN models using RL in molecular generation tasks and explore the impact of different factors on model performance. Through evaluation experiments on QM9 and ZINC datasets, the results show that noise sampling distributions, training epochs, and training data volumes can affect the performance of molecular generation. Finally, we provide strategies for stable training and improved performance for GAN models.",Springer
"Thalheim, Bernhard",Models: the fourth dimension of computer science,2022,10.1007/s10270-021-00954-2,https://doi.org/10.1007/s10270-021-00954-2,Journal,Software and Systems Modeling,"Models are a universal instrument in science, technology, and daily life. They function as instruments in almost every scenario. Any human activity can be (and is) supported by models, e.g. reason, explain, design, act, predict, explore, communicate, collaborate, interact, orient, direct, guide, socialises, perceive, reflect, develop, making sense, teach, learn, imagine, etc. This universal suitability is also the basis for a wide use of models and modelling in Computer Science and Engineering. We claim that models form the fourth dimension in Computer Science. This paper sketches and systematises the main ingredients of the study model and modelling.",Springer
"Kumar, Aman and Rizvi, Danish Raza","(S2M {\$}{\$}-IQ):{\$}{\$}Semiotics Similarity Measurement and Information Quantification, Lecture Information Weightage Calculation",2024,10.1007/s42979-024-03541-6,https://doi.org/10.1007/s42979-024-03541-6,Journal,SN Computer Science,"AI and ML-based smart applications will be the next best way towards essential services, like basic education, and quality optimization. In the educational delivery context, not only summarization but advanced stages of NLP require capabilities to extract information and quantify the delivered knowledge. Summarizing and evaluating summary quality alone is insufficient as it ignores whether the original lecture adequately covered relevant information about the topic---testing a summary against a perfect reference is meaningless if the lecture itself was incomplete. Hence, the perfect summarisation of educational delivery is insufficient, but information quantification is imperative, particularly for enhancing educational quality of service (E-QoS). This paper meticulously analyses the existing quality assessment metrics used in recent benchmark works and proposes/supports the need for information quantification by thoroughly examining some known metrics for generated summary quality assessment and their limitations concerning educational deliveries and respective summaries. The paper contributes in four key areas: first, a comprehensive study and evaluation of the sufficiency of available metrics for assessing the quality of candidate summaries in the context of educational deliveries; second, a proposal of the need for information/knowledge quantification (not only summary quality) in educational delivery summaries; third, mathematical modeling based on known metrics; and finally, experimentation and analysis of proposed mathematics on both benchmark and real-time novel datasets.",Springer
"Danso, Juliana Mantebea and Missah, Yaw Marfo and Gyamfi, Enoch Opanin and Dankwa, Stephen and Kwabena, Sarpong",Reseed Skipping of Linear Congruential Generator for Multi-level Image Steganography Security of Financial Data,2022,10.1007/s42979-022-01540-z,https://doi.org/10.1007/s42979-022-01540-z,Journal,SN Computer Science,"This paper proposed a multi-level image steganography model that integrates with image and plaintext encryption schemes. The model starts by partitioning the cover-image pixel positions into two regions of respective purposes, one is reserved to hold the data, and through the implementation of the dynamic difference expansion principle, the other sloughs some parts to the reserved region in responsive to the size of the data to embed. Continuously reseeding and initializing the parameter values of a Linear Congruential Generator (LCG), generate a set of random pixel positions as members of the reserved region. Before data embedding, the region reserved to hold the data as well as the data bits to embed, are then encrypted using AES with respective keys. Encryption keys are randomly generated using a Cryptographically Secure Pseudo-Random Number Generator (CSPRNG), the Fortuna algorithm. Multiplex security nature of using a randomization generator to reserve image region for encryption and encrypting plaintext data before performing steganography still ensures stability in computational complexities better than a logarithmic O(n log n). A visual inspection by evaluators who made 3000 choices to correctly differentiate stego images from its cover-images shows that only 47 choices were correct, 1884 choices were wrong, while 1069 choices were uncertain. An experiment shows an average Embedding Rates (ERs) of 0.00109 bpp and an average PSNR of 72. This concludes, as our integrated steganography and image encryption which implements the dynamic difference expansion principle, outputs encrypted stego mages that can deceive the naked human eyes into identifying them as rather cover-images, its embedding rate is faster (i.e. {\$}{\$}{\backslash}mathrm{\{}ER{\}}<0.1{\$}{\$}), suitably good, and ensures better imperceptibility of cover-image alterations. When comparing these experimental results with existing methods, our proposed model shows significant competitiveness. We even show real-life scenarios on how this idea is just not a proof-of-concept but typically applicable in protecting sensitive financial data.",Springer
"Banzhaf, Wolfgang",Genetic Programming and Emergence,2014,10.1007/s10710-013-9196-7,https://doi.org/10.1007/s10710-013-9196-7,Journal,Genetic Programming and Evolvable Machines,"Emergence and its accompanying phenomena are a widespread process in nature. Despite its prominence, there is no agreement in the sciences about the concept and how to define or measure emergence. One of the most contentious issues discussed is that of top-down (or downward) causation as a defining characteristic of systems with emergence. In this contribution we shall argue that emergence happens in Genetic Programming, for all the world to see.",Springer
"Coronado, Estefan{\'i}a and Valero, Valent{\'i}n and Orozco-Barbosa, Luis and Cambronero, Mar{\'i}a-Emilia and Pelayo, Fernando L.",Modeling and simulation of the IEEE 802.11e wireless protocol with hidden nodes using Colored Petri Nets,2021,10.1007/s10270-020-00817-2,https://doi.org/10.1007/s10270-020-00817-2,Journal,Software and Systems Modeling,"Wireless technologies are continuously evolving, including features such as the extension to mid- and long-range communications and the support of an increasing number of devices. However, longer ranges increase the probability of suffering from hidden terminal issues. In the particular case of Wireless Local Area Networks (WLANs), the use of Quality of Service (QoS) mechanisms introduced in IEEE 802.11e compromises scalability, exacerbates the hidden node problem, and creates congestion as the number of users and the variety of services in the network grow. In this context, this paper presents a configurable Colored Petri Net (CPN) model for the IEEE 802.11e protocol with the aim of analyzing the QoS support in mid- and long-range WLANs The CPN model covers the behavior of the protocol in the presence of hidden nodes to examine the performance of the RTS/CTS exchange in scenarios where the QoS differentiation may involve massive collision chains and high delays. Our CPN model sets the basis for further exploring the performance of the various mechanisms defined by the IEEE 802.11 standard. We then use this CPN model to provide a comprehensive study of the effectiveness of this protocol by using the simulation and monitoring capabilities of CPN Tools.",Springer
"Surana, Shraddha and Arora, Pooja and Singh, Divye and Sahasrabuddhe, Deepti and Valadi, Jayaraman",PandoraGAN: Generating Antiviral Peptides Using Generative Adversarial Network,2023,10.1007/s42979-023-02203-3,https://doi.org/10.1007/s42979-023-02203-3,Journal,SN Computer Science,"The continuous increase in pathogenic viruses and the intensive laboratory research emphasizes the need for cost- and time-efficient drug development. This accelerates research for alternate drug candidates like antiviral peptides (AVP) that have therapeutic and prophylactic potential and gaining attention in recent times. However, diversity in their sequences, limited and non-uniform characterization often limit their applications. Isolating newer peptide backbones with required characteristics is a cumbersome process with many design--test--build cycles. Advanced deep learning approaches such as generative adversarial networks (GAN) can be helpful to expedite the initial stage of developing novel peptide drugs. In this study, we developed PandoraGAN that uses a manually curated training dataset of 130 highly active peptides that include peptides from known databases (such as AVPdb) and literature to generate novel antiviral peptides. The underlying architecture in PandoraGAN is able to learn a good representation of the implicit properties of antiviral peptides. The generated sequences from PandoraGAN are validated based on physico-chemical properties. They are also compared with the training dataset statistically using Pearson's correlation and Mann--Whitney U-test. We, therefore, confirm that PandoraGAN is capable of generating a novel antiviral peptide backbone showing similar properties to that of the known highly active antiviral peptides. This approach exhibits a potential to discover novel patterns of AVP which may have not been seen earlier with traditional methods. To our knowledge, this is the first ever use of GAN models for antiviral peptides across the viral spectrum.",Springer
